"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Southern","SM1","1992-02-28","1","Surface Water","1.5","0.032","1.1","109","8.8","1","1","0.034","0.01","<0.002","8.1","1.2","32.1","2.5","0.84","1.5","16.6","0.08","0.21","0.25","0.06","1.9","0.001","1"
"Southern","SM1","1992-02-28","1","Middle Water","1.1","0.02","0.3","99","8.1","1","1","0.052","0.02","0.003","8.1","0.7","32.1","2.5","0.82","2.5","15.6","0.09","0.19","0.26","0.1","2.4","0.001","1"
"Southern","SM1","1992-02-28","1","Bottom Water","1","0.013","0.3","94","7.7","1","1","0.048","0.028","0.003","8","0.7","32.1","2.5","0.86","3","15.3","0.09","0.17","0.25","0.1","3.1","0.001","1"
"Southern","SM1","1992-05-01","1","Surface Water","1.7","0.04","1.1","111","7.8","1","1","0.059","0.004","0.009","8.3","<0.2","30.6","3.5","0.6","1","23.6","0.1","0.28","0.34","0.07","1.2","0.003","<0.5"
"Southern","SM1","1992-05-01","1","Middle Water","1.2","0.044","1.6","110","7.9","1","1","0.016","<0.002","0.006","8.3","<0.2","31.3","3.5","0.3","1","22","0.06","0.17","0.19","0.08","0.9","0.003","<0.5"
"Southern","SM1","1992-05-01","1","Bottom Water","0.9","0.033","0.5","85","6.2","1","1","0.027","<0.002","0.008","8.1","<0.2","32.6","3.5","0.35","1.5","21.4","0.06","0.14","0.17","0.08","1.2","0.002","0.5"
"Southern","SM1","1992-06-25","1","Surface Water","1.1","<0.005","4.3","124","8.3","1","1","0.481","0.017","0.032","8.5","<0.2","16.6","2.4","3.11","1.5","29.6","0.5","0.15","0.65","0.04","1.8","0.001","0.5"
"Southern","SM1","1992-06-25","1","Middle Water","1.6","0.012","6.4","116","8.3","1","1","0.003","<0.002","0.006","8.4","1.8","32.3","2.4","0.28","1.5","25.9","0.02","0.16","0.17","0.1","1.8","0.001","1"
"Southern","SM1","1992-06-25","1","Bottom Water","1.1","0.018","4.8","51","3.9","1","1","0.082","0.015","0.017","8.2","1.5","34.1","2.4","1.04","9","23.4","0.12","0.11","0.21","0.13","5.7","0.001","1.5"
"Southern","SM1","1992-08-10","1","Surface Water","1.6","0.044","1.6","135","8.6","1","1","0.133","0.005","0.008","8.3","2.5","23.7","3.5","2.17","1.5","29.9","0.18","0.54","0.68","0.16","1.2","0.005","1"
"Southern","SM1","1992-08-10","1","Middle Water","2.7","0.04","1.6","67","4.5","40","110","0.021","0.003","0.009","8.5","4.4","32.6","3.5","1.76","3.5","25.5","0.06","0.49","0.51","0.12","1.9","0.005","1"
"Southern","SM1","1992-08-10","1","Bottom Water","0.7","0.042","<0.2","48","3.5","1","1","0.036","0.013","0.018","8","3.4","33.9","3.5","0.9","1.5","22.5","0.09","0.29","0.34","0.11","1.4","0.002","1"
"Southern","SM1","1992-10-07","1","Surface Water","0.9","0.024","2.7","74","4.9","1","3","0.026","0.023","0.03","8.3","1.1","32.9","1.5","0.72","6.5","27.9","0.07","0.45","0.5","0.24","5.8","0.002","1.5"
"Southern","SM1","1992-10-07","1","Middle Water","0.8","0.028","2.7","76","5","3","4","0.033","0.024","0.016","8.2","1.1","33","1.5","0.71","5.5","27.8","0.09","0.53","0.59","0.26","5.2","0.002","1.5"
"Southern","SM1","1992-10-07","1","Bottom Water","1","0.031","3.2","72","4.7","7","10","0.025","0.022","0.013","8.2","<0.2","33","1.5","0.7","5","27.7","0.08","0.46","0.51","0.27","4.7","0.003","1"
"Southern","SM1","1992-12-15","1","Surface Water","1.7","0.036","0.2","108","8.1","2","3","0.033","0.007","0.024","8.2","<0.2","33","1.5","0.7","5.5","19.7","0.08","0.59","0.63","0.02","3.8","0.002","2"
"Southern","SM1","1992-12-15","1","Middle Water","1.2","0.035","<0.2","105","7.9","5","6","0.031","0.041","0.09","8.2","<0.2","33","1.5","0.71","5.5","19.7","0.11","0.59","0.66","0.08","3.5","0.002","1.5"
"Southern","SM1","1992-12-15","1","Bottom Water","1.1","0.04","<0.2","119","8.9","11","13","0.044","0.014","0.041","8.2","0.4","33.1","1.5","0.79","5.5","19.7","0.1","0.65","0.71","0.04","4.5","0.002","1.5"
"Southern","SM10","1992-02-21","1","Surface Water","0.2","0.142","1.1","82","6.7","180","230","0.076","0.033","0.01","7.9","1","31.8","1","0.85","12","15.4","0.25","0.32","0.43","0.18","9.5","0.003","1"
